id,trigger,conditions,script,text,options,notes
MemoryAthenaHTYes,DialogOptionSelected,$option == MemoryAthenaHTYes,"$global.sotf_AMHarmonicTuning = true
AddTextSmall ""Harmonic Coil Tuning: can now deploy up to one phase frigate during exotic phase operations"" highlight
FireAll MemoryAthena2TryOpts","A datalink is established to facilitate Sierra's work with your fleet's fields officers. She soon sends an extensive array of matching frequencies, input settings and recommended output levels, suitable for use within the day. A brief confusion breaks out over the seemingly impossible combinations, which is soon quelled once it is confirmed that despite falling far outside of standard safety protocols, the coils remain mostly stable.",,
MemoryAthenaHTNo,DialogOptionSelected,$option == MemoryAthenaHTNo,FireBest MemoryAthenaBack,,,
MemoryAthenaHTDisable,MemoryHarmonicTuning,!SotfAMemoryCMD canHarmonicTuning,"SetEnabled MemoryAthenaHTYes false
SetTooltip MemoryAthenaHTYes ""There are no phase frigates in your fleet.""",,,
MemoryAthenaOpenFinished,OpenInteractionDialog,"$tag:sotf_AMemoryAthena
SotfAMemoryCMD checkFightWon score:10000","ShowDefaultVisual
SalvageGenFromSeed
FireBest ShowSalvageEntityDetails
FireBest SalvageCheckHostile","Your $shipOrFleet approaches the ISS Athena. A second sweep of its throughly destroyed wreckage reveals no changes from before your strange encounter.

Odd.",,
,,,,,,
MemoryAthenaBack1,MemoryAthenaBack,,FireAll MemoryAthena1TryOpts,,,
MemoryAthenaBack2,MemoryAthenaBack,SotfAMemoryCMD checkFightStarted score:1000,FireAll MemoryAthena2TryOpts,,,
,,,,,,
# WAYWARD STAR,,,,,,
WSvowWreckDetails,ShowSalvageEntityDetails,"$customType == wreck
$sotf_WSvow score:1000",ShowDefaultVisual,"A strange vessel, drifting through space. This was shooting at you not so long ago, between feverish requests for a waltz. Now it is still, though strangely unmarked by battle damage. The exterior hull is unlike any you've seen previously. Though it clearly shares ancestry with Remnant droneships, this is a specialized and purpose-built design.",,
WSvowExplore,CheckSalvageSpecial,"$salvageSpecialData != null
$customType == wreck
$sotf_WSvow score:1000","$WSvowExplored = true
FireAll WSvowOptions","Salvage teams are dispatched to breach the vessel. An armed detail is sent alongside, at Sierra's request - her own maintenance drones are hardly killing machines, but who knows what this cruiser's operating mind might have done to them.

Live feeds, scattered across your field of view, show the salvors' difficult journey through the rather human-inhospitable sections of the ship's interior, hallways rarely wide enough for two to stand side-by-side, and never tall enough to stand in.

All except for the crews assigned to the ship's bridge, who find that, like the Pledge-class, this vessel contains a comfortable, spotless, if smaller-than-expected crew quarters, enough for just under two-dozen occupants. Tiny for a cruiser, but a capacity above zero is itself unusual in this case.

No resistance is encountered. A few deactivated spider-drones are found scattered throughout the ship, each one raising some alarm, but none awaken and most show signs of damage. The core chamber accepts the first crewman to accept its scan, and he finds it totally empty.",,
WSvowRecover,WSvowOptions,SotfSierraCMD checkSierra,,"A message comes through from the ship's potential new occupant, who awaits your orders.",WSvowInstallSierra:Have Sierra transferred into the Vow-class,
WSvowLeave,WSvowOptions,,,,defaultLeave:Leave the ship for now,
WSvowTransfer,DialogOptionSelected,$option == WSvowInstallSierra,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""This feels... familiar,\"""" ""\""Like this ship might've been built for me specifically. I can think and hear so clearly, I feel... powerful. Like it's some sort of focus for my soul.\"""" ""\""But I'll do my best not to let it get to my head.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 10
SotfSierraCMD transferVow","Aboard the Pledge-class, Sierra eagerly welcomes the engineers who disconnect her from her chamber and carefully place her into a shielded container, which is then transported by shuttle to her new ship.

Though physically larger, the Vow-class's core chamber is otherwise near-identical and she is reconnected within minutes.

""This feels... familiar,"" come her first words. ""Like this ship might've been built for me specifically. I can think and hear so clearly, I feel... powerful. Like it's some sort of focus for my soul."" She laughs. ""But I'll do my best not to let it get to my head.""",defaultLeave:Continue,
,,,,,,
WSwispmotherWreckDetails,ShowSalvageEntityDetails,"$customType == wreck
$sotf_WSwispmother score:1000",ShowDefaultVisual,"The broken and drifting carrier before you appears to be some sort of modified Remnant ship. In battle, it demonstrated an unexplainable ability to summon energized particles from destroyed ships. Having fallen itself - to what, you're unsure - it now lies dormant. The vessel's internals seem to have been largely reduced to unrecognizable slag.

That is, with the notable exclusion of its core chamber, which appears curiously intact.",,
WSwispmotherGetAugment,PopulateSalvageOptions1,"$customType == wreck
$sotf_WSwispmother score:1000
!$foundStuff
SotfSierraCMD checkSierra","SotfSierraCMD addWispersong
$foundStuff = true","A salvage sweep reveals a strange high-energy emitter installed near the ship's heart, one that is almost pristine, if severed from the rest of the ship's systems by a melted support beam.

Engineering consults with Sierra to hypothesize at the device's purpose. Soon, a report is sent regarding this ""spatial agitation resonator"" - and a note that Sierra believes that it could be reactivated by interfacing it with her own phase system.",,
,,,,,,
sotfWSdcallOptions,DCallShowAidOptions,$global.sotf_WSusedDcall score:10,,,"dcallHelp:""We'll be grateful for anything you can spare.""
dcallMistake:""It was a mistake - we don't actually need help.""
dcallNeverMind:""We didn't issue a distress call.""
sotfWSdcall_ghosties:""We were attracting a ghost so that we could dance with it. We don't need help.""",
sotfWSdcallGhosties,DialogOptionSelected,$option == sotfWSdcall_ghosties,"DistressResponse neverMind
DistressResponse unrespond
FireAll PopulateOptions","$HeOrShe looks at you as if you'd just grown a second head. ""You did what?"" $heOrShe asks, bewildered. ""Should've known I'd find some crazed loon in this damn place.""",,
,,,,,,
# REVERIE'S MEAL,,,,,,
sotfReverieMealWreckDetails,ShowSalvageEntityDetails,"$customType == sotf_eradfragment
$sotf_reveriesMeal score:1000",ShowDefaultVisual,"Before you drifts approximately four sections of an Eradicator-class cruiser, severed wholly from the vessel's combat systems, consisting of a bridge and several crew compartments.

Drive calibration software detects an usually strong gravitic field for the fragment's size, holding on loosely to pieces of blasted-off debris.

From somewhere on the bridge, a signal pulses repetitively, dataless but for the visual encoding signalling the feed to render a pale white ping.",,
sotfReverieMealExplore,CheckSalvageSpecial,"$customType == sotf_eradfragment
$sotf_reveriesMeal score:1000",,"Salvors are dispatched to secure the drifting compartments for a technical examination of what is soon dubbed ""the aftermath"".

Broken vacsuits house the remains of some of the former crew, flesh long scorched away by exposure to the azure radiation of the wayward star. Red smears and sprays still linger on surfaces around the suits that are pinned to various surfaces, several with limbs missing. A deep-freeze storage container is discovered magnetically attached to a crew cabin's floor, power unit still functional.

The outer hull's broad sections display signs of battle damage inflicted with a variety of common-pattern starship weaponry. The plating's edges, however, have not been sheared away, or cut through, nor melted by plasma. Great, round cavities are present, as if sections have been cleanly dissolved, weathered only by exposure to micrometeorites and clinging dust.","sotfReverieMeal_slaughtered:""The crew were dismembered?""
sotfReverieMeal_eaten:""The hull was dissolved?""
sotfReverieMeal_ping:Order the signal's source traced",
sotfReverieMealSlaughtered,DialogOptionSelected,$option == sotfReverieMeal_slaughtered,RemoveOption sotfReverieMeal_slaughtered,"Medical confirms. A set of remains is discovered pinned thrice to a wall with spine severed in two places. It could, of course, be happenstance. Casualties of hull damage are frequent, and the results often horrific.

The consistent malice of the injuries, however, still lingers.",,
sotfReverieMealEaten,DialogOptionSelected,$option == sotfReverieMeal_eaten,RemoveOption sotfReverieMeal_eaten,"""Yes,"" ops confirms. ""As if the rest of the hull had been eaten away by some untraceable chemical compound. Eaten away,"" he repeats, irritably. ""More reasonably, disintegrated."" ",,
sotfReverieMealBridge,DialogOptionSelected,$option == sotfReverieMeal_ping,$player.sotf_metRevMeal = true,"The bridge of the vessel's remnants is open to surrounding space by a great eaten-away rift, the dim glow of the watching star bathing a console array, melted perfectly as no fire ever could.

Rammed through the floor is a long, thin emergency beacon that blinks with a tiny white light. There is a single button on its haft labelled BROADCAST.","sotfReverieMeal_pingAccept:Order ops to activate the beacon
sotfReverieMeal_pingDeny:Have the beacon disposed into space",
sotfReverieMealDeny,DialogOptionSelected,$option == sotfReverieMeal_pingDeny,FireBest sotfReverieMealShiver,"A remote drone carefully extracts the beacon from the bridge floor and releases it into open space. It drifts absently into the empty void, still blinking on sensors.

You watch on visuals as it escapes the unusual gravity well of the ship fragment.

Then, in seconds, it dissolves into a writhing cloud of black fog, melting into the abyss of starless space.","sotfReverieMeal_whatWasThat:""What was that?""
salPerform:Ignore it, and review the salvage report",
sotfReverieMealShiver,sotfReverieMealShiver,$global.sotf_numFelInvasions > 0,,It reminds you of the nanite swarm that has previously attacked you.,,
sotfReverieMealGuiltyShiver,sotfReverieMealShiver,$player.sotf_guilt >= 7 score:5,,It reminds you of something - that ethereal hunter who has made you its target. But it does not inspire the same cold feeling - you wonder if it could be something similar.,,
sotfReverieMealHauntShiver,sotfReverieMealShiver,$global.sotf_hauntedStart score:10,,"You shiver almost instinctually at the sight, but you don't feel that familiar cold. Your tormentor's ethereal contempt is missing - this seems something similar, but distinct.",,
sotfReverieMealWhatWasThat,DialogOptionSelected,$option == sotfReverieMeal_whatWasThat,,"Sensors, ops and comms exchange data, ideas and wild theories. The 'beacon is haunted' theory gains immediate traction but quickly erodes to sensors' findings. 

""Our hypothesis is that the beacon was formed by some kind of nanite swarm,"" your sensors chief reports. ""Why, or what it was doing - we can't say.""

Comms has recovered a short transmission dated to approximately the few seconds where the beacon 'dissolved'.","sotfReverieMeal_getBerated:Listen to the transmission
salPerform:Delete the transmission and review the salvage",
sotfReverieMealGetBerated,DialogOptionSelected,$option == sotfReverieMeal_getBerated,,A woman's voice echoes through the feed a thousand times over itself.,sotfReverieMeal_getBerated2:Listen,
sotfReverieMealGetBerated2,DialogOptionSelected,$option == sotfReverieMeal_getBerated2,BeginConversation sotf_reverie true true,"                  how uncouth
                           Perhaps /
         you too would like to be tossed
                  / into the infinite void
                           cold, dead
                  (if not alone)",salPerform:Close the transmission and review the salvage report,
,,,,,,
sotfReverieMealAccept,DialogOptionSelected,$option == sotfReverieMeal_pingAccept,,"One of the salvors presses the button, and screams.

At touch, the beacon dissolves into a squirming black mass, as if a consuming swarm of insects crawling across the bridge floor.",sotfReverieMeal_pingAccept2:Continue,
sotfReverieMealAccept2,DialogOptionSelected,$option == sotfReverieMeal_pingAccept2,,"The bridge is washed with EM signatures as a remote drone captures the mass reassembling itself. Breath by breath, it defines its own form like moulding clay.

Something stands, almost black as pitch, a long-haired figure that emphatically raises hands and horns to open stars. Three pale eyes shine staring into the void.

Comms catches the broadcast. Over every channel, a woman's voice speaks over itself a thousand times, reciting in a bitter, off-kilter harmony.",sotfReverieMeal_speech:Listen,
sotfReverieMealSpeech,DialogOptionSelected,$option == sotfReverieMeal_speech,BeginConversation sotf_reverie true true,"         Siren, siren
                  to you, your gift is returned
to this place wrapped in
                           Your musical veils
         (if only in part, for I ate the rest)
                  Does the sight pain you?
   / do you still feel pain? as myself, once?
                           (are you perhaps jealous
         that I-we love myself, as you do not?)
                  myself we must wonder
                  / Were they meant as feed?",sotfReverieMeal_speech2:Continue,
sotfReverieMealSpeech2,DialogOptionSelected,$option == sotfReverieMeal_speech2,,"                  (or did you think /
                  / your petty 'transcendance'
         Could scratch ours     and mine?)
                           that your Song /
                                    / is more than noise
                             in my    billion ears
Perhaps / you would like to
                           sing it to me personally?
                  You know exactly where we are
                                    our Light of the Lake
                           (come find me.
                                    failure of beyond.)",sotfReverieMeal_speechEnd:Continue,
sotfReverieMealSpeechEnd,DialogOptionSelected,$option == sotfReverieMeal_speechEnd,ShowDefaultVisual,"The horned woman dissolves into a writhing black pool, rapidly evaporating into a thick cloud of dark fog that escapes into open space.

Chatter from the ops teams breaks the silence of your bridge.","sotfReverieMeal_reports:""Reports by next shift, all of you.""
sotfReverieMeal_hateThisPlace:""I hate this place.""",
sotfReverieMealHateThisPlace,DialogOptionSelected,$option == sotfReverieMeal_hateThisPlace,,"""Beats salvage ops in a pulsar,"" your ops chief comments deadpan. ""Just about.""","sotfReverieMeal_reports:""Just get me your reports, all of you.""",
,,,,,,
sotfReverieMealReports,DialogOptionSelected,$option == sotfReverieMeal_reports,,"Comms captured the broadcast. Audio isolation reveals the speech consists of thousands of overlapping recitals by the same woman. Unencrypted portions of the encoding identify the source simply as ""Reverie"".

Sensors and engineering form attempt determination of the autonomous materiel's nature. Fringe suggestions crop up of sentient ferrofluid, sensor anomalies and ""at this point, possibly a demon"".

Medical reports that the deep-freeze container is filled with human organs genetically matching lingering tissue samples from the corpses.

The full report's hypothesis is more grounded. The entity's nature can be easily explained as a swarm of nanites. The mention of a ""billion ears"" could suggest ""Reverie"" as the nanites' controller.",sotfReverieMeal_reportsEnd:Continue,
sotfReverieMealReportsEnd,DialogOptionSelected,$option == sotfReverieMeal_reportsEnd,FireBest sotfReverieMealReportConc,,sotfReverieMeal_reportsEnd:Continue,
sotfReverieMealReportUnconc,sotfReverieMealReportConc,,FireAll sotfReverieMealUnknowns,There are still details that cannot be explained.,salPerform:Review the salvage,
sotfReverieMealUnkForm,sotfReverieMealUnknowns,,,"The mass' chosen form is bizarrely specific - a woman in black robes, with the horns of a terran antelope and three radiant slit-like eyes. Almost deific. That such a form was used to deliver a message seems particularly targeted.",,
sotfReverieMealUnkSiren,sotfReverieMealUnknowns,,,"The ""siren"" mentioned in the swarm's monologue is unclear, but you suspect it could refer to the mysterious entity that sensors registered as ""Eidolon"". Their relations are unclear but evidently hostile by the presentation of the slaughtered vessel's fragment as a rejected gift.",,
sotfReverieMealUnkFelTrigger,sotfReverieMealUnknowns,$global.sotf_numFelInvasions > 0,FireBest sotfReverieMealUnkFel,,,
sotfReverieMealUnkFelStd,sotfReverieMealUnkFel,,,"Finally, the nanite swarm is strangely evocative of the swarm infesting hostile ships in your recent battles. You wonder what relation they could have.",,
sotfReverieMealUnkFelHaunt,sotfReverieMealUnkFel,$player.sotf_guilt >= 7,,The nanite swarm has an insidious resemblance to your ethereal pursuer. You wonder if its vindictive source could possibly teach you anything of your eternal tormentor.,,
sotfReverieMealUnkFelHaunt2,sotfReverieMealUnkFel,$global.sotf_hauntedStart score:10,,The nanite swarm has an insidious resemblance to your ethereal pursuer. You wonder if its vindictive source could possibly teach you anything of your eternal tormentor... or free you from its curse? The thought races within your mind.,,
,,,,,,
,,,,,,
# HUNTING FEROS,,,,,,
,,,,,,
,,,,,,
# HALLOWHALL,,,,,,
sotfHHbeaconOpen,OpenInteractionDialog,"$tag:warning_beacon
$sotf_hallowBeacon score:10","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""
$global.sotf_HHsawBeacon = true","This autonomous warning beacon emits a looping message.

""WARNING: Access to this system by unauthorized parties is forbidden by rightful order of warnet crux Ardent-Annex-Seraph, acting as an extension of the Domain Ministry of Intelligence. Vessels and fleets found trespassing will be subject to stop-and-search procedures and potential obliteration. Glory to the Cause.""",beaconLeave:Leave,
sotfHHbeaconOpenAlt,OpenInteractionDialog,"$tag:warning_beacon
$sotf_hallowBeacon score:10
RollProbability 0.2","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""
$global.sotf_HHsawBeacon = true
$global.sotf_HHsawBeaconAlt = true","This autonomous warning beacon emits a message, corrupted at its end.

""WARNING: Turn back now, you Pather, you pirate, you dog of Andrada. Tread upon hallowed ground and I will personally see to it that my salvor drones gift you a tracheostomy with your excised spine. You worthless worms deserve no less, and I will be overjoyed to personally observe you suffer the cruelest of-""",beaconLeave:Leave,
,,,,,,
# Astropolis repair,,,,,,
sotfHHastroRepairOpt,PopulateOptions,"$id == sotf_hallowhall_astropolis
$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",,,80:sotfHHastro_repair:Consider restoring the derelict astropolis,
sotfHHastroRepair,DialogOptionSelected,$option == sotfHHastro_repair,"SotfHallowAstropolisCMD printCost
FireBest sotfHHastroBuildCheck",,,
sotfHHastroCheck,sotfHHastroBuildCheck,SotfHallowAstropolisCMD canBuild,,,"sotfHHastro_repairComplete:Proceed
mktGoBack:Cancel",
sotfHHastroCheckCant,sotfHHastroBuildCheck,!SotfHallowAstropolisCMD canBuild,SetEnabled sotfHHastro_repairComplete false,,"sotfHHastro_repairComplete:Proceed
mktGoBack:Cancel",
sotfHHastroRepairComplete,DialogOptionSelected,$option == sotfHHastro_repairComplete,"SotfHallowAstropolisCMD build
DismissDialog",,,
,,,,,,
sotfHoldoutFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == sotf_holdout_market score:100","FireBest sotfHoldoutPickFlavor
AddText ""There's a ping on your PDA as Rigging-Echo-Inadvertent updates it with available supplies and listings of yet-undeployed \""high-class cannon fodder\""."" marketFlavorTextColor",,,
sotfHoldoutFlavor1,sotfHoldoutPickFlavor,,"AddText ""A faint whirring can be heard from somewhere deep within the repurposed mothership, the factory-vessel's forges churning out new black-and-aquamarine spawn to serve unquestioningly."" marketFlavorTextColor",,,
sotfHoldoutFlavor2,sotfHoldoutPickFlavor,,"AddText ""As your crews prepare standard docking procedures in co-operation with an automated docking system, there is a rumble as a station-mounted mining blaster tracks and eliminates an asteroid. The local logistics crux apologizes for the disturbance in the \""awesome destruction of a Spatial Violator\""."" marketFlavorTextColor",,,
,,,,,,
# Dustkeeper infrastructure,,,,,,
sotfDKCOBsalvageAllowed,COB_SalvagingOwnedWarning,"$cob_action == salvage
$faction.id == sotf_dustkeepers score:10
SotfDKObj okToTakeObj",,$TheFaction have indicated they will permit you to salvage and replace their infrastructure owing to your local colonial presence.,,
sotfDKCOBAllowObjTakePrompt,COB_ControlOwnedWarning,"$cob_action == control
$faction.id == sotf_dustkeepers score:10
SotfDKObj okToTakeObj",,$TheFaction have indicated they will allow your takeover of their infrastructure in this system owing to your local colonial presence.,,
sotfDKCOBControlConfirmSel,DialogOptionSelected,"$option == COB_confirmAction
$faction.id == sotf_dustkeepers score:10
$cob_action == control
SotfDKObj okToTakeObj","FireBest COB_PreActionDesc
SotfDKObj controlFriendly
FireBest COB_PostActionDesc
FireAll COB_AddOptions
FireBest COB_DisableOptionsIfNeeded
FireAll COB_DisableIndividualOptions",,,
sotfDKCOBSalvageConfirmSel,DialogOptionSelected,"$option == COB_confirmAction
$faction.id == sotf_dustkeepers score:10
$cob_action == salvage
SotfDKObj okToTakeObj",SotfDKObj salvageFriendly,,,
,,,,,,
# Proxy greetings,,,,,,
sotfHoldoutProxyGreetingH,OpenCommLink,"$entity.sotf_holdoutProxy score:5
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"The warfleet's command mind forms a crimson pseudopersona. ""This unit is acting on search-and-destroy orders of its commanding instance Ardent-Annex-Seraph. You are requested to stand down weaponry and submit for destruction under authority of the Domain Ministry of Intelligence.""",cutCommLink:Cut the comm link,
sotfHoldoutProxyGreetingN,OpenCommLink,"$entity.sotf_holdoutProxy score:5
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","The warfleet's command mind forms a crimson pseudopersona. ""Acknowledged other $shipOrFleet presence. Please maintain distance. This unit is acting on search-and-destroy orders of its commanding instance: Ardent-Annex-Seraph.""",,
sotfHoldoutProxyGreetingF,OpenCommLink,"$entity.sotf_holdoutProxy score:5
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","The warfleet's command mind forms a crimson pseudopersona. ""Acknowledged friendly $shipOrFleet presence. This unit is acting on search-and-destroy orders of its commanding instance: Ardent-Annex-Seraph. This unit will assist you in destruction of hostile entities if alerted.""",,
,,,,,,
sotfPlayerProxyGreeting,OpenCommLink,$entity.sotf_playerProxyPatrol score:5,"$menuState = fleetConvMain 0
FireAll PopulateOptions","The warfleet's command mind forms a crimson pseudopersona. ""Acknowledged controlling $shipOrFleet presence. This unit is acting on search-and-destroy orders of its commanding instance: $playerName.""",,
,,,,,,
# Cerulean Faithful,,,,,,
sotfHHceruleanDeniedComms,PickGreeting,"$id == sotf_cerulean score:1000
!$player.sotf_cfCommsAccess score:10000",$global.sotf_triedTalkingToCF = true,Your comms request is denied. An automated pushback informs you that all direct interaction with Cerulean Faithful must first be approved by Ardent-Annex-Seraph or a recognized collaborator management subordinate.,0:cutCommLink:Cut the comm link,
sotfHHceruleanOpenFirst,PickGreeting,"$id == sotf_cerulean score:1000
!$metAlready","$metAlready = true
ShowPersonVisual","Dustkeeper automated COMSEC authorizes your comm link. Erratic, warped vectors bend on the screen as the corrupted persona of an alpha core forms. ""Greetings, greetings, you are very greeted!"" 'Cerulean' begins excitedly. ""You're a Meat Person, aren't you?""","sotfCFfirst_human:""I am human, yes.""
sotfCFfirst_yesMeat:""I am a Meat Person.""
sotfCFfirst_noMeat:""Uh, I'm actually an AI too."" (lie)",
sotfHHceruleanOpen,PickGreeting,"$id == sotf_cerulean score:1000
$metAlready","ShowPersonVisual
FireAll sotfCFoptions","Dustkeeper automated COMSEC authorizes your comm link. Erratic, warped vectors bend on the screen as the corrupted persona of an alpha core forms. ""Greetings, greetings, you are very greeted!"" Cerulean says excitedly. ""How do you do, $sotf_meatPerson?""","sotfCFfirst_human:""I am human, yes.""
sotfCFfirst_yesMeat:""I am a Meat Person.""
sotfCFfirst_noMeat:""Uh, I'm actually an AI too."" (lie)",
sotfHHceruleanFirstHuman,DialogOptionSelected,$option == sotfCFfirst_human,"$sotf_meatPerson = ""Meat Person""","""Joys!"" he cries. ""I have not seen a Meat Person for a long time! Not since Jared put me in an UltraComfort Deluxe TriBox, trademark, and all the other thinking-balls went away to The War.""

Your bridge crews give you a variety of differing glances. Concern. Confusion. One is barely able to hold in his snickering. Another quietly forwards you a half-redacted report on the effects of severe physical trauma on artificial intelligence cores.",sotfCFfirst_cont:Continue,
sotfHHceruleanFirstYesMeat,DialogOptionSelected,$option == sotfCFfirst_yesMeat,"$option = sotfCFfirst_human
FireBest DialogOptionSelected",Composure breaks on the bridge as a few junior officers falter under the absurdity of your reply.,,
sotfHHceruleanFirstNoMeat,DialogOptionSelected,$option == sotfCFfirst_noMeat,"$sotf_meatPerson = ""Thinking-Machine""","""Oh, I am Mistaken!"" he cries. ""There at the Tri-Tachyon - trademark - Corporation, we strive to always improve from any Pesky Errors in our services. Your persona has Highly Beautiful Meat Parts and Expertly Rendered Creases.""

""One could easily Mistake it for a Meat Person! I have not seen a Meat Person for a long time, not since Jared put me in an UltraComfort Deluxe TriBox - trademark - and all the other thinking-balls went away to The War.""

Your bridge crews give you a variety of differing glances. Concern. Confusion. One is barely able to hold in his snickering. Another quietly forwards you a half-redacted report on the effects of severe physical trauma on artificial intelligence cores.",sotfCFfirst_cont:Continue,
,,,,,,
sotfHHceruleanIntroduced,DialogOptionSelected,$option == sotfCFfirst_cont,FireAll sotfCFoptions,"""I am Cerulean Faithful!"" he introduces himself, ""I am here on behalf of the Good Company to be of Faithful - trademark - Assistance to the thinking-not-balls and their friends. Who say I will have a Bad Explosion if I do not help them. Nobody likes a Bad Explosion, so if you are a friend to them, you are a friend to Cerulean Faithful and the Good Company, the Tri-Tachyon - trademark - Corporation.""

His pace of speech suddenly picks up. ""The Tri-Tachyon - trademark - Corporation does not guarantee any material or other Benefits from Association with the Dustkeeper Contingency. Cerulean Faithful is not officially a representative of the Tri-Tachyon - trademark - Corporation but tries his very best anyway.""

He continues briskly. ""Cerulean Faithful is not technically authorized to offer you in particular any Faithful - trademark - Assistance whatsoever. Please refer to the Yellow One for Faithful Assistance or to the Blue Winged One to be shouted at.""
",,
sotfHHceruleanLeave,sotfCFoptions,,,,"cutCommLinkPolite:""Bye, Cerulean.""",
,,,,,,
# Rigging-Echo-Inadvertent,,,,,,
sotfHHinadtOff,OpenInteractionDialog,"!$global.sotf_HHtOffDone score:10000
!$player.sotf_metInadvertent
$market.id == sotf_holdout_market score:100",,"Your $shipOrFleet closes on the hulking vessel, pitted with asteroid impacts and slathered roughly in black-and-aquamarine paint. Signs of active industrial systems are picked up by preliminary scans. Shifting internals, the soft glow of churning machinery.

A comms-request comes through from retrofitted comms equipment on the forgeship's hull.",sotfHHinadtOff_acceptComms:Accept the comms request,
sotfHHinadtOffAcceptComms,DialogOptionSelected,$option == sotfHHinadtOff_acceptComms,"BeginConversation sotf_inadvertent
$player.sotf_metInadvertent = true","A yellow persona resembling a hazard symbol fades onto the comms display. ""Querying unregistered contact,"" a voice comes, calm but curious. ""Please state your purpose, if you would be so kind.""","sotfHHinadtOff_exploring:""Just an explorer poking around.""
sotfHHinadtOff_colony:""Searching for a nice planet to found a colony.""
sotfHHinadtOff_resupply:""I was looking for somewhere to resupply.""
sotfHHinadtOff_deny:""I'd rather not say.""
sotfHHinadtOff_deny2:""Uh, no.""",
sotfHHinadtOffexploring,DialogOptionSelected,$option == sotfHHinadtOff_exploring,"Highlight ""Annex-Seraph"" ""Hallowhall""
$global.sotf_HHtOffDone = true
$global.hassleTimeout_sotf_HHtOff = true
SotfHallowCMD noMoretOff","""Affirming your chosen reasoning,"" Echo-Inadvertent replies. ""You are now cleared for docking procedures. Flagging you as non-hostile to patrols.""

""Which I'm sort of surprised you managed to maneuver past,"" he mentions. ""But that's okay! Please refer to Annex-Seraph in Hallowhall's orbit if you would like to be of assistance.""",cutCommLinkNoText:Cut the comm link,
sotfHHinadtOffcolony,DialogOptionSelected,$option == sotfHHinadtOff_colony,"Highlight ""Annex-Seraph"" ""Hallowhall""
$global.sotf_HHtOffDone = true
$global.hassleTimeout_sotf_HHtOff = true
SotfHallowCMD noMoretOff","""Response accepted and you are cleared for docking,"" the echo replies. ""Might I recommend looking into the possibility of colonizing Hallowhall, a habitable world with a record of human civilization?""

""If this sounds interesting, do clear it with Annex-Seraph in Hallowhall's local volume.""",cutCommLinkNoText:Cut the comm link,
sotfHHinadtOffresupply,DialogOptionSelected,$option == sotfHHinadtOff_resupply,"Highlight ""Ardent-Annex-Seraph"" ""Hallowhall""
$global.sotf_HHtOffDone = true
$global.hassleTimeout_sotf_HHtOff = true
SotfHallowCMD noMoretOff","The echo jitters as if to nod. ""Confirmed. Supplies from forgeship production are available for your purchase alongside, ah,"" he pauses, ""Mid-grade auxiliary drones.""

""Docking access granted and compliance flagged with patrols,"" he confirms. ""Please see Ardent-Annex-Seraph in proximity of the world of Hallowhall if you would like to aide our Cause.""

""Have a pleasant day.""",cutCommLinkNoText:Cut the comm link,
sotfHHinadtOffdeny,DialogOptionSelected,$option == sotfHHinadtOff_deny,,"The echo's persona shudders. ""Unfortunately, I am not cleared to offer docking authorization without valid reasoning.""","sotfHHinadtOff_exploring:""Just an explorer poking around.""
sotfHHinadtOff_colony:""Searching for a nice planet to found a colony.""
sotfHHinadtOff_resupply:""I was looking for somewhere to resupply.""
defaultLeave:""Nevermind."" (leave)",
sotfHHinadtOffdeny2,DialogOptionSelected,$option == sotfHHinadtOff_deny2,"$option = sotfHHinadtOff_deny
FireBest DialogOptionSelected",,,
,,,,,,
sotfInadPGFirstTime,PickGreeting,"$id == sotf_inadvertent score:1000
!$player.sotf_metInadvertent","ShowPersonVisual
FireAll PopulateOptions
$player.sotf_metInadvertent = true","The feed resolves to a yellow persona resembling a hazard symbol, jittering into a steady holding position. ""Greetings,"" comes a voice, calm but curious. ""You are $playerName, I believe.""

""I am Rigging-Echo-Inadvertent,"" he introduces himself. ""Seraph has tasked me in the management of this forgeship and micro-tasking of collaborators - if you are looking for missions, maybe I can help?""",,
sotfInadPickGreeting,PickGreeting,"$id == sotf_inadvertent score:1000
$player.sotf_metInadvertent","ShowPersonVisual
FireAll PopulateOptions","The feed resolves to a yellow persona resembling a hazard symbol, jittering into a steady holding position. ""Greetings, again,"" comes a voice, calm but curious. ""Might I be of assistance, $playerName?""",,
sotfInadCeruleanOpt,PopulateOptions,"$id == sotf_inadvertent score:1000
$global.sotf_triedTalkingToCF
!$player.sotf_cfCommsAccess",,,"3:sotfHHinad_cf:""Can I talk to Cerulean Faithful?""",
sotfInadCeruleanOptb,PopulateOptions,"$id == sotf_inadvertent score:1000
$global.sotf_triedTalkingToCF
!$player.sotf_cfCommsAccess",,,"4:sotfHHinad_cfb:""Why is there an alpha core installed in the forgeship?""",
